international plan,voice mail plan,%call drops,%Packet_drops,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,phone number
no,yes,0.008,0.007,25,265.1,110,197.4,99,244.7,91,10,3,382-4657
no,yes,0.018,0.005,,161.6,123,195.5,103,254.4,103,13.7,3,371-7191
no,no,0.011,0.009,0,243.4,114,121.2,110,162.6,104,12.2,5,358-1921
yes,no,0.005,,0,299.4,71,61.9,88,196.9,89,6.6,7,375-9999
yes,no,0.013,0.016,0,166.7,113,148.3,122,186.9,121,10.1,3,330-6626
yes,no,0.015,0.013,0,223.4,98,220.6,101,203.9,118,6.3,6,391-8027
no,yes,0.011,,24,218.2,88,348.5,108,212.6,118,7.5,7,355-9993
yes,no,0,0.012,0,157,79,103.1,94,211.8,96,7.1,6,329-9001
no,no,0.009,0.002,0,184.5,97,351.6,80,215.8,90,8.7,4,335-4719
yes,yes,0.006,0.002,37,258.6,84,222,111,326.4,97,11.2,5,330-8173
no,no,0.012,0.037,0,129.1,137,228.5,83,208.8,111,12.7,6,329-6603
no,no,0.007,0.016,0,187.7,127,163.4,148,196,94,9.1,5,344-9403
no,no,0.015,0.001,0,128.8,96,104.9,71,141.1,128,11.2,2,363-1107
no,no,0.009,0.007,0,156.6,88,247.6,75,192.3,115,12.3,5,394-8006
no,no,0.011,0.001,0,120.7,70,307.2,76,203,99,13.1,6,366-9238
no,no,0.012,0.013,0,332.9,67,317.8,97,160.6,128,5.4,9,351-7269
no,yes,0,0.014,27,196.4,139,280.9,90,89.3,75,13.8,4,350-8884
no,no,0.015,0.012,0,190.7,114,218.2,111,129.6,121,8.1,3,386-2923
no,yes,0.02,0.014,33,189.7,66,212.8,65,165.7,108,10,5,356-2992
no,no,0.007,0.011,0,224.4,90,159.5,88,192.8,74,13,2,373-2782
no,no,0.001,0.007,0,155.1,117,239.7,93,208.8,133,10.6,4,396-5800
no,no,0.048,0.02,0,62.4,89,169.9,121,209.6,64,5.7,6,393-7984
no,no,0.002,0.011,0,183,112,72.9,99,181.8,78,9.5,19,358-1958
no,no,0.004,0.006,0,110.4,103,137.3,102,189.6,105,7.7,6,350-2565
no,no,0.006,0.014,0,81.1,86,245.2,72,237,115,10.3,2,343-4696
no,no,0.011,0.003,0,124.3,76,277.1,112,250.7,115,15.5,5,331-3698
no,yes,0.001,0.006,39,213,115,191.1,112,182.7,115,9.5,3,357-3817
no,no,0.013,0.004,0,134.3,73,155.5,100,102.1,68,14.7,4,418-6412
no,no,0.015,0,0,190,109,258.2,84,181.5,102,6.3,6,353-2630
no,no,0.017,0.012,0,119.3,117,215.1,109,178.7,90,11.1,1,410-7789
no,no,0.001,0.009,0,84.8,95,136.7,63,250.5,148,14.2,6,416-8428
no,no,0.017,0.015,0,226.1,105,201.5,107,246.2,98,10.3,5,370-3359
no,no,0.008,0.01,0,212,121,31.2,115,293.3,78,12.6,10,383-1121
no,no,0.054,0.033,0,249.6,118,252.4,119,280.2,90,11.8,3,360-1596
no,yes,0.002,0.01,25,176.8,94,195,75,213.5,116,8.3,4,395-2854
no,yes,0.006,0.013,37,220,80,217.3,102,152.8,71,14.7,6,362-1407
no,yes,0.012,0.007,30,146.3,128,162.5,80,129.3,109,14.5,6,341-9764
no,no,0.016,0.002,0,130.8,64,223.7,116,227.8,108,10,5,353-3305
yes,yes,0.007,0.012,33,203.9,106,187.6,99,101.7,107,10.5,6,402-1381
no,no,0.017,0.007,0,140.4,94,271.8,92,188.3,108,11.1,9,332-9891
no,no,0.009,0.013,0,126.3,102,166.8,85,187.8,135,9.4,2,372-9976
yes,yes,0.049,0.027,41,173.1,85,203.9,107,122.2,78,14.6,15,383-6029
no,no,0.007,0.006,0,124.8,82,282.2,98,311.5,78,10,4,353-7289
no,no,0.004,0.003,0,85.8,77,165.3,110,178.5,92,9.2,4,390-7274
no,no,0.005,0,0,154,67,225.8,118,265.3,86,3.5,3,352-1237
no,yes,0.014,0.014,28,120.9,97,213,92,163.1,116,8.5,5,353-3061
