phone number,customer service calls,Number of complaint raised,Time for resolution,payment_made_but_order_not_placed_and_amount_is_deducted_from_my_bank_account,Billing_issue,Calls_are_not_going,drop_calls,No_internet_connection,order,payment_refund,recharge_offer_service_fraud,Slow_network_coverage,uninformed___unsubscribed_weekly_amount_deduction
382-4657,1,1,21,0,0,0,0,0,0,1,0,0,0
371-7191,1,1,14,0,0,0,0,0,0,1,0,0,0
358-1921,0,0,0,0,0,0,0,0,0,0,0,0,0
375-9999,2,1,24,0,0,1,0,0,0,0,0,0,0
330-6626,3,2,37,0,1,0,0,0,0,1,0,0,0
391-8027,0,0,0,0,0,0,0,0,0,0,0,0,0
355-9993,3,2,61,1,0,0,0,0,0,0,1,0,0
329-9001,0,0,0,0,0,0,0,0,0,0,0,0,0
335-4719,1,1,24,0,0,0,0,0,0,0,0,1,0
330-8173,0,0,0,0,0,0,0,0,0,0,0,0,0
329-6603,4,1,38,0,0,0,0,0,0,1,0,0,0
344-9403,0,0,0,0,0,0,0,0,0,0,0,0,0
363-1107,1,1,16,0,0,0,0,0,1,0,0,0,0
394-8006,3,2,51,0,0,0,0,0,0,1,1,0,0
366-9238,4,1,28,0,0,0,0,0,1,0,0,0,0
351-7269,4,3,91,0,0,0,0,2,0,0,0,1,0
350-8884,1,1,7,0,0,1,0,0,0,0,0,0,0
386-2923,3,2,59,0,0,0,0,0,0,0,1,1,0
356-2992,1,1,18,0,0,0,0,1,0,0,0,0,0
373-2782,1,1,16,0,0,1,0,0,0,0,0,0,0
396-5800,0,0,0,0,0,0,0,0,0,0,0,0,0
393-7984,5,4,104,0,0,1,0,0,0,1,1,0,1
358-1958,0,0,0,0,0,0,0,0,0,0,0,0,0
350-2565,2,0,0,0,0,0,0,0,0,0,0,0,0
343-4696,0,0,0,0,0,0,0,0,0,0,0,0,0
331-3698,3,2,39,0,0,0,1,0,0,1,0,0,0
357-3817,0,0,0,0,0,0,0,0,0,0,0,0,0
418-6412,3,1,33,0,0,0,0,1,0,0,0,0,0
353-2630,0,0,0,0,0,0,0,0,0,0,0,0,0
410-7789,1,1,14,0,0,0,0,0,0,1,0,0,0
416-8428,2,1,29,0,0,0,0,0,1,0,0,0,0
370-3359,1,1,6,0,0,0,0,0,0,0,0,1,0
383-1121,3,0,0,0,0,0,0,0,0,0,0,0,0
360-1596,1,1,20,0,0,0,0,0,0,0,1,0,0
395-2854,0,0,0,0,0,0,0,0,0,0,0,0,0
362-1407,3,1,21,0,0,0,0,0,0,0,1,0,0
341-9764,0,0,0,0,0,0,0,0,0,0,0,0,0
353-3305,1,1,22,0,0,1,0,0,0,0,0,0,0
402-1381,3,2,34,0,0,0,1,0,1,0,0,0,0
332-9891,1,1,20,0,0,0,0,0,0,0,0,0,1
372-9976,3,3,66,0,0,1,0,1,0,1,0,0,0
383-6029,0,0,0,0,0,0,0,0,0,0,0,0,0
353-7289,2,0,0,0,0,0,0,0,0,0,0,0,0
390-7274,3,2,62,0,0,1,1,0,0,0,0,0,0
352-1237,1,1,7,0,0,0,0,0,0,1,0,0,0
353-3061,2,1,21,0,0,0,0,1,0,0,0,0,0
363-5450,3,2,61,0,0,0,0,0,0,0,1,0,1
364-1995,2,1,29,0,0,0,0,0,0,0,0,1,0
398-1294,5,4,124,0,0,1,0,2,0,0,0,0,1
405-7146,1,1,3,0,0,0,0,0,0,1,0,0,0
413-4957,3,2,47,0,0,1,0,0,0,0,1,0,0
420-5645,1,1,19,0,0,0,0,0,0,1,0,0,0
349-4396,2,2,42,0,0,0,0,1,0,0,0,0,1
404-3211,2,0,0,0,0,0,0,0,0,0,0,0,0
353-3759,5,3,65,0,1,1,0,0,0,1,0,0,0
363-5947,1,1,22,1,0,0,0,0,0,0,0,0,0
340-5121,1,1,11,0,0,0,0,1,0,0,0,0,0
370-7574,3,1,13,0,0,0,0,0,0,0,1,0,0
403-9733,3,2,39,0,0,0,0,0,0,0,0,1,1
355-7251,1,1,18,0,0,0,0,0,0,0,0,0,1
359-5893,1,1,8,0,0,0,0,0,0,1,0,0,0
405-3371,2,0,0,0,0,0,0,0,0,0,0,0,0
344-5117,2,1,18,0,0,0,0,0,0,1,0,0,0
332-8160,3,1,19,0,0,0,0,0,1,0,0,0,0
359-4081,2,1,16,0,0,0,0,0,0,1,0,0,0
352-8305,2,1,12,0,0,0,0,0,0,1,0,0,0
329-9847,0,0,0,0,0,0,0,0,0,0,0,0,0
365-9011,0,0,0,0,0,0,0,0,0,0,0,0,0
338-9472,1,1,6,0,0,0,0,1,0,0,0,0,0
374-8042,4,1,11,0,1,0,0,0,0,0,0,0,0
359-1231,3,2,34,0,0,1,0,0,0,0,0,0,1
413-7170,0,0,0,0,0,0,0,0,0,0,0,0,0
415-2935,3,2,28,0,0,0,0,0,0,0,1,1,0
399-4246,1,1,17,0,0,0,0,0,0,0,0,1,0
362-5889,0,0,0,0,0,0,0,0,0,0,0,0,0
350-8921,1,1,5,0,0,0,0,0,0,0,0,0,1
374-5353,0,0,0,0,0,0,0,0,0,0,0,0,0
360-1171,4,1,13,0,0,0,0,0,0,0,0,1,0
355-8887,2,2,35,0,0,0,0,0,1,0,0,1,0
333-1967,1,1,5,0,0,0,1,0,0,0,0,0,0
354-4577,1,1,23,1,0,0,0,0,0,0,0,0,0
331-7425,3,2,47,0,0,1,0,1,0,0,0,0,0
419-2637,3,0,0,0,0,0,0,0,0,0,0,0,0
411-1530,1,1,19,0,0,0,0,0,1,0,0,0,0
395-3026,2,1,26,0,0,0,0,0,0,0,1,0,0
388-6441,0,0,0,0,0,0,0,0,0,0,0,0,0
402-1251,4,3,94,0,1,0,1,0,0,1,0,0,0
412-9997,1,1,6,0,0,0,0,0,0,1,0,0,0
346-7302,2,0,0,0,0,0,0,0,0,0,0,0,0
358-9095,1,1,9,0,0,0,0,1,0,0,0,0,0
400-9770,1,1,16,0,0,0,0,0,0,0,1,0,0
334-1275,0,0,0,0,0,0,0,0,0,0,0,0,0
340-4953,1,1,7,0,0,0,0,0,0,0,0,1,0
400-9510,3,1,18,0,0,0,0,0,0,0,0,1,0
387-6103,3,2,48,1,0,0,0,1,0,0,0,0,0
366-4467,1,1,24,1,0,0,0,0,0,0,0,0,0
370-3450,0,0,0,0,0,0,0,0,0,0,0,0,0
327-3954,4,3,82,1,0,0,0,1,0,0,0,0,1
355-6291,1,1,11,1,0,0,0,0,0,0,0,0,0
362-9748,2,1,6,0,0,0,0,0,0,0,0,0,1
379-6506,4,1,12,0,0,0,0,0,0,1,0,0,0
347-7741,0,0,0,0,0,0,0,0,0,0,0,0,0
354-3783,0,0,0,0,0,0,0,0,0,0,0,0,0
401-7594,1,1,2,0,1,0,0,0,0,0,0,0,0
397-4976,1,1,21,0,1,0,0,0,0,0,0,0,0
334-2577,4,3,59,0,0,0,0,0,0,0,0,2,1
400-3637,2,0,0,0,0,0,0,0,0,0,0,0,0
383-4361,1,1,2,0,0,0,0,0,1,0,0,0,0
371-4306,1,1,24,0,0,1,0,0,0,0,0,0,0
403-4298,3,2,70,0,0,0,0,0,0,0,1,1,0
409-3786,1,1,16,0,0,0,0,1,0,0,0,0,0
337-4697,2,1,8,0,0,0,1,0,0,0,0,0,0
383-1509,4,2,49,0,0,0,1,0,0,0,0,1,0
359-9794,1,1,15,0,0,0,1,0,0,0,0,0,0
407-7035,1,1,11,0,0,0,0,0,1,0,0,0,0
363-1069,0,0,0,0,0,0,0,0,0,0,0,0,0
391-4652,1,1,4,0,0,0,0,0,0,0,0,1,0
355-6837,1,1,13,0,0,1,0,0,0,0,0,0,0
409-1244,2,1,23,0,0,0,0,0,0,0,1,0,0
328-3266,2,2,35,0,0,0,1,1,0,0,0,0,0
352-7072,1,1,20,0,1,0,0,0,0,0,0,0,0
370-7550,0,0,0,0,0,0,0,0,0,0,0,0,0
369-5526,3,3,72,0,1,2,0,0,0,0,0,0,0
329-4391,1,1,2,0,0,0,0,1,0,0,0,0,0
408-4195,2,1,9,0,1,0,0,0,0,0,0,0,0
354-4445,1,1,7,0,0,0,0,0,1,0,0,0,0
335-4858,4,2,43,0,0,1,1,0,0,0,0,0,0
414-8718,4,2,36,0,0,1,0,1,0,0,0,0,0
409-5939,2,2,32,0,0,0,0,1,0,0,0,1,0
331-4902,3,3,73,0,0,1,0,1,1,0,0,0,0
353-6870,3,2,62,0,0,0,0,0,0,0,0,2,0
355-2909,1,1,12,0,0,0,0,0,0,0,0,1,0
390-6101,1,1,4,0,0,1,0,0,0,0,0,0,0
400-3446,4,1,25,0,0,0,0,0,0,1,0,0,0
411-5859,1,1,1,0,0,1,0,0,0,0,0,0,0
387-2919,3,3,62,0,0,0,0,0,0,0,1,2,0
374-8525,5,3,106,0,0,0,0,0,0,2,0,1,0
379-5592,3,2,48,0,0,0,1,1,0,0,0,0,0
345-8237,1,1,8,0,0,1,0,0,0,0,0,0,0
422-6690,2,1,30,0,0,0,0,0,0,1,0,0,0
346-2359,1,1,6,0,0,0,0,0,1,0,0,0,0
374-3534,0,0,0,0,0,0,0,0,0,0,0,0,0
381-4756,3,1,14,0,0,0,0,0,0,0,0,0,1
390-2805,1,1,22,0,1,0,0,0,0,0,0,0,0
390-2390,2,1,30,0,0,1,0,0,0,0,0,0,0
419-9097,3,1,25,0,0,0,0,0,0,0,1,0,0
386-7281,1,1,6,0,0,0,0,0,0,0,0,1,0
380-3561,1,1,4,0,0,1,0,0,0,0,0,0,0
390-8760,1,1,21,0,0,0,0,0,1,0,0,0,0
366-6730,2,1,12,0,0,0,0,1,0,0,0,0,0
395-5285,1,1,13,0,0,1,0,0,0,0,0,0,0
354-3436,1,1,14,0,0,0,0,0,0,0,0,0,1
336-7600,1,1,2,0,0,0,0,0,0,0,1,0,0
383-6293,1,1,15,0,0,0,0,0,0,0,0,1,0
362-4596,5,3,79,0,1,0,0,0,0,0,1,0,1
401-3926,0,0,0,0,0,0,0,0,0,0,0,0,0
370-9116,0,0,0,0,0,0,0,0,0,0,0,0,0
328-6289,0,0,0,0,0,0,0,0,0,0,0,0,0
350-9994,1,1,19,0,0,0,1,0,0,0,0,0,0
351-4616,1,1,10,0,0,0,0,0,0,0,0,0,1
360-5779,0,0,0,0,0,0,0,0,0,0,0,0,0
417-4885,0,0,0,0,0,0,0,0,0,0,0,0,0
406-4710,3,3,95,0,1,0,0,1,1,0,0,0,0
409-8743,1,1,20,0,0,0,0,0,0,0,1,0,0
335-4584,1,1,5,0,0,0,0,0,0,1,0,0,0
361-9845,2,2,14,0,0,0,0,0,0,0,0,1,1
366-5699,1,1,17,0,0,0,0,0,0,0,0,0,1
329-9364,1,1,1,0,0,0,0,0,0,0,0,0,1
390-7434,1,1,20,0,1,0,0,0,0,0,0,0,0
404-9680,0,0,0,0,0,0,0,0,0,0,0,0,0
338-9398,1,1,16,0,1,0,0,0,0,0,0,0,0
394-2445,2,1,5,0,0,0,0,0,0,0,1,0,0
381-2709,3,3,57,0,2,1,0,0,0,0,0,0,0
397-5060,1,1,11,1,0,0,0,0,0,0,0,0,0
415-2393,0,0,0,0,0,0,0,0,0,0,0,0,0
377-1765,2,0,0,0,0,0,0,0,0,0,0,0,0
409-2111,0,0,0,0,0,0,0,0,0,0,0,0,0
401-3170,2,0,0,0,0,0,0,0,0,0,0,0,0
405-5681,3,2,39,1,0,0,0,0,0,0,0,0,1
411-4582,3,3,70,0,1,0,0,0,0,0,1,1,0
355-5009,4,3,108,0,1,0,0,0,0,0,0,0,2
372-3750,5,4,101,0,0,1,0,1,1,1,0,0,0
405-2888,2,1,14,0,0,0,0,0,1,0,0,0,0
361-3337,2,2,28,0,0,2,0,0,0,0,0,0,0
350-1639,3,0,0,0,0,0,0,0,0,0,0,0,0
333-3221,1,1,21,1,0,0,0,0,0,0,0,0,0
422-1471,1,1,7,0,0,0,0,0,0,0,0,1,0
399-7865,2,1,27,0,0,0,0,1,0,0,0,0,0
373-4819,1,1,1,0,0,0,1,0,0,0,0,0,0
338-6981,1,1,18,0,1,0,0,0,0,0,0,0,0
418-4365,0,0,0,0,0,0,0,0,0,0,0,0,0
359-5461,1,1,2,0,1,0,0,0,0,0,0,0,0
375-3586,2,1,24,0,0,0,0,0,0,0,0,0,1
407-8376,0,0,0,0,0,0,0,0,0,0,0,0,0
408-6496,1,1,7,0,0,0,0,0,0,0,1,0,0
385-7688,1,1,5,0,0,0,1,0,0,0,0,0,0
332-6934,0,0,0,0,0,0,0,0,0,0,0,0,0
378-3625,2,1,28,0,0,1,0,0,0,0,0,0,0
353-7292,4,2,53,0,0,1,0,0,0,1,0,0,0
399-6786,0,0,0,0,0,0,0,0,0,0,0,0,0
358-3261,3,2,44,0,0,1,0,0,0,0,0,0,1
377-9932,2,1,14,1,0,0,0,0,0,0,0,0,0
397-4030,3,2,37,0,1,0,0,0,0,0,1,0,0
367-1062,2,0,0,0,0,0,0,0,0,0,0,0,0
341-8467,1,1,14,0,0,0,1,0,0,0,0,0,0
339-9453,1,1,17,1,0,0,0,0,0,0,0,0,0
344-3388,2,1,7,0,1,0,0,0,0,0,0,0,0
375-8013,3,2,59,0,0,1,0,1,0,0,0,0,0
408-4142,3,2,31,0,1,0,0,0,0,1,0,0,0
386-3671,3,2,34,0,0,0,1,0,0,1,0,0,0
411-2284,1,1,15,0,0,0,0,0,1,0,0,0,0
346-7795,0,0,0,0,0,0,0,0,0,0,0,0,0
333-5609,1,1,2,0,1,0,0,0,0,0,0,0,0
405-1842,1,1,9,0,0,0,0,0,1,0,0,0,0
366-6345,2,0,0,0,0,0,0,0,0,0,0,0,0
337-9345,3,2,50,0,0,0,0,1,0,0,0,1,0
328-6770,0,0,0,0,0,0,0,0,0,0,0,0,0
380-7321,3,2,35,0,1,0,0,0,0,0,0,0,1
375-1476,1,1,15,0,0,0,0,0,1,0,0,0,0
