churn,state,account length,area code,phone number,account (days),Age,Gender,Occupation,Joining date,Subsciption renewal date
FALSE,KS,128,415,382-4657,896,53,Female,Senior Professional,4/1/2016,3/1/2018
FALSE,OH,107,415,371-7191,749,70,Male,Retire,30/05/2016,30/05/2018
FALSE,NJ,137,415,358-1921,959,60,Male,Retire,2/11/2015,1/11/2017
FALSE,OH,84,408,375-9999,588,38,Female,Senior Professional,7/11/2016,7/11/2018
FALSE,OK,75,415,330-6626,525,27,Male,Retire,9/1/2017,9/1/2019
FALSE,AL,118,510,391-8027,826,34,Female,Senior Professional,14/03/2016,14/03/2018
FALSE,MA,121,510,355-9993,847,20,Female,student,22/02/2016,21/02/2018
FALSE,MO,147,415,329-9001,1029,43,Female,Sr Managers,24/08/2015,23/08/2017
FALSE,LA,117,408,335-4719,819,49,Female,Middle Management,21/03/2016,21/03/2018
FALSE,WV,141,415,330-8173,987,29,Female,Senior Professional,5/10/2015,4/10/2017
TRUE,IN,65,415,329-6603,455,64,Female,Retire,20/03/2017,20/03/2019
FALSE,RI,74,415,344-9403,518,53,Male,Senior Professional,16/01/2017,16/01/2019
FALSE,IA,168,408,363-1107,1176,63,Male,Retire,30/03/2015,29/03/2017
FALSE,MT,95,510,394-8006,665,58,Male,Senior Professional,22/08/2016,22/08/2018
FALSE,IA,62,415,366-9238,434,65,Female,Retire,10/4/2017,10/4/2019
TRUE,NY,161,415,351-7269,1127,66,Female,Retire,18/05/2015,17/05/2017
FALSE,ID,85,408,350-8884,595,38,Male,Senior Professional,31/10/2016,31/10/2018
FALSE,VT,93,510,386-2923,651,69,Male,Retire,5/9/2016,5/9/2018
FALSE,VA,76,510,356-2992,532,51,Male,Middle Management,2/1/2017,2/1/2019
FALSE,TX,73,415,373-2782,511,59,Female,Senior Professional,23/01/2017,23/01/2019
FALSE,FL,147,415,396-5800,1029,22,Female,student,24/08/2015,23/08/2017
TRUE,CO,77,408,393-7984,539,69,Male,Retire,26/12/2016,26/12/2018
