total day charge,total eve charge,total night charge,total intl charge,ARPU,phone number
45.07,16.78,11.01,2.7,75.56,382-4657
27.47,16.62,11.45,3.7,59.24,371-7191
41.38,10.3,7.32,3.29,62.29,358-1921
50.9,5.26,8.86,1.78,66.8,375-9999
28.34,12.61,8.41,2.73,52.09,330-6626
37.98,18.75,9.18,1.7,67.61,391-8027
37.09,29.62,9.57,2.03,78.31,355-9993
26.69,8.76,9.53,1.92,46.9,329-9001
31.37,29.89,9.71,2.35,73.32,335-4719
43.96,18.87,14.69,3.02,80.54,330-8173
21.95,19.42,9.4,3.43,54.2,329-6603
31.91,13.89,8.82,2.46,57.08,344-9403
21.9,8.92,6.35,3.02,40.19,363-1107
26.62,21.05,8.65,3.32,59.64,394-8006
20.52,26.11,9.14,3.54,59.31,366-9238
56.59,27.01,7.23,1.46,92.29,351-7269
33.39,23.88,4.02,3.73,65.02,350-8884
32.42,18.55,5.83,2.19,58.99,386-2923
32.25,18.09,7.46,2.7,60.5,356-2992
38.15,13.56,8.68,3.51,63.9,373-2782
26.37,20.37,9.4,2.86,59,396-5800
10.61,14.44,9.43,1.54,36.02,393-7984
31.11,6.2,8.18,2.57,48.06,358-1958
18.77,11.67,8.53,2.08,41.05,350-2565
13.79,20.84,10.67,2.78,48.08,343-4696
21.13,23.55,11.28,4.19,60.15,331-3698
36.21,16.24,8.22,2.57,63.24,357-3817
22.83,13.22,4.59,3.97,44.61,418-6412
32.3,21.95,8.17,1.7,64.12,353-2630
20.28,18.28,8.04,3,49.6,410-7789
14.42,11.62,11.27,3.83,41.14,416-8428
38.44,17.13,11.08,2.78,69.43,370-3359
36.04,2.65,13.2,3.4,55.29,383-1121
42.43,21.45,12.61,3.19,79.68,360-1596
30.06,16.58,9.61,2.24,58.49,395-2854
37.4,18.47,6.88,3.97,66.72,362-1407
24.87,13.81,5.82,3.92,48.42,341-9764
22.24,19.01,10.25,2.7,54.2,353-3305
34.66,15.95,4.58,2.84,58.03,402-1381
23.87,23.1,8.47,3,58.44,332-9891
21.47,14.18,8.45,2.54,46.64,372-9976
29.43,17.33,5.5,3.94,56.2,383-6029
21.22,23.99,14.02,2.7,61.93,353-7289
14.59,14.05,8.03,2.48,39.15,390-7274
26.18,19.19,11.94,0.95,58.26,352-1237
20.55,18.11,7.34,2.3,48.3,353-3061
35.92,13.82,6.06,3.56,59.36,363-5450
31.79,11.44,10.9,2,56.13,364-1995
27.05,19.66,6.44,2.38,55.53,398-1294
22.64,18.46,3.18,2.97,47.25,405-7146
32.62,22.93,10.66,2.11,68.32,413-4957
37.5,17.94,11.21,1.84,68.49,420-5645
31.64,16.17,12.73,3.08,63.62,349-4396
27.23,22.74,10.28,2.51,62.76,404-3211
25.67,18.67,9.18,2.62,56.14,353-3759
29.84,21.19,12.16,2.75,65.94,363-5947
21.57,15.3,6.34,2.16,45.37,340-5121
33.73,6.4,8.15,1.57,49.85,370-7574
25.3,20.95,5.84,3.27,55.36,403-9733
38.98,15.08,8.52,3.24,65.82,355-7251
32.66,14.44,7.5,3.08,57.68,359-5893
45.66,15.15,7.48,3.13,71.42,405-3371
32.93,20.92,6.21,3.94,64,344-5117
30.72,15.96,11.95,3.4,62.03,332-8160
22.3,13.85,7.15,2.21,45.51,359-4081
25.18,14.41,9.63,1.67,50.89,352-8305
42.76,18.09,7.1,2.51,70.46,329-9847
21.28,17.54,5.82,2.24,46.88,365-9011
35.97,18.44,6.91,2.11,63.43,338-9472
30.41,14.37,6.69,3.73,55.2,374-8042
41.11,14.49,13.29,3.19,72.08,359-1231
38.23,16,11.46,3.27,68.96,413-7170
42.26,12.66,7.76,2.16,64.84,415-2935
34.58,19.27,6.86,1.97,62.68,399-4246
40.09,13.36,8.47,3.24,65.16,362-5889
26.71,18.98,8.16,1.65,55.5,350-8921
51.05,15.39,12.15,3.16,81.75,374-5353
10.47,6.55,7.79,2.21,27.02,360-1171
36.4,13.97,7.99,2.21,60.57,355-8887
28.93,13.19,10.29,4.05,56.46,333-1967
34.19,25.8,10.08,3.56,73.63,354-4577
36.62,17.41,12.53,3.4,69.96,331-7425
28.15,11.57,7.91,2.97,50.6,419-2637
42.42,22.07,10.02,2.65,77.16,411-1530
35.8,21.18,8.61,3.35,68.94,395-3026
30.48,19.2,14.54,2.32,66.54,388-6441
26.84,13.18,8.53,2.16,50.71,402-1251
36.43,17.72,8.21,3.24,65.6,412-9997
26.2,10.49,9.09,2.94,48.72,346-7302
40.44,21.05,9.4,3.75,74.64,358-9095
24.46,16.57,4.93,3,48.96,400-9770
34.58,16.23,8.82,2.4,62.03,334-1275
21.13,14.71,11.39,2.13,49.36,340-4953
42.99,15.16,11.88,2.57,72.6,400-9510
30.45,16.2,5.75,2.86,55.26,387-6103
47.33,6.89,7.34,2.65,64.21,366-4467
27.22,18.13,7.83,3.51,56.69,370-3450
33.69,17.62,8.59,2.35,62.25,327-3954
36.06,17.8,7.52,1.43,62.81,355-6291
42.81,17.48,12.38,2.65,75.32,362-9748
27.4,21.44,7.21,1.19,57.24,379-6506
30.31,16.07,5.81,3.94,56.13,347-7741
25.79,10.12,8.1,2.84,46.85,354-3783
22.95,15.61,11.04,3.38,52.98,401-7594
28.99,14.76,11.19,3.05,57.99,397-4976
40.48,15.91,8.55,3.19,68.13,334-2577
47.84,17.19,8.42,2.43,75.88,400-3637
20.04,13.98,9.76,2.65,46.43,383-4361
25.26,11.14,9.87,2.73,49,371-4306
39.07,12.57,10.86,2.59,65.09,403-4298
28.05,26.96,5.36,2.24,62.61,409-3786
31.45,18.98,10.03,3.4,63.86,337-4697
27.37,16.23,10.25,3.27,57.12,383-1509
21.54,17.51,11.15,3.59,53.79,359-9794
10.01,14.42,9.51,2.54,36.48,407-7035
33.46,21.67,6.22,5.4,66.75,363-1069
27.64,12.95,2.59,3.83,47.01,391-4652
48.03,18.69,7.65,2.54,76.91,355-6837
19.33,13.39,7.99,2.7,43.41,409-1244
40.77,18.26,6.45,2.35,67.83,328-3266
35.73,19.32,9,3.54,67.59,352-7072
36.35,12.05,6.4,1.94,56.74,370-7550
32.42,15.6,9.94,2.65,60.61,369-5526
29.05,11.25,5.08,3.13,48.51,329-4391
26.21,9.37,10.23,2.48,48.29,408-4195
34.24,19.5,11.36,3.24,68.34,354-4445
12.02,13.39,6.97,2.46,34.84,335-4858
31.88,12.46,10.16,1.73,56.23,414-8718
15.59,16.46,7.88,2.48,42.41,409-5939
36.41,13.74,11.91,2.57,64.63,331-4902
24.74,18.5,6.61,2.94,52.79,353-6870
28.27,13.45,11.55,1.65,54.92,355-2909
39.27,19.58,11.76,2.57,73.18,390-6101
34.05,17.1,9.27,1.92,62.34,400-3446
33.49,17.22,9.29,2.46,62.46,411-5859
22.08,14.73,11.12,3.02,50.95,387-2919
29.89,18.49,10.69,1.43,60.5,374-8525
34.53,17.86,8.8,3.24,64.43,379-5592
31.14,10.78,11.85,3.02,56.79,345-8237
34.85,12.92,7.14,2.75,57.66,422-6690
25.25,23.49,8.71,3.35,60.8,346-2359
34.05,18.73,11.42,2.84,67.04,374-3534
32.74,16.62,4.94,1.84,56.14,381-4756
41.91,16.62,9.02,3.16,70.71,390-2805
28.41,15.09,11.22,3.81,58.53,390-2390
39.42,13.61,4.97,3.86,61.86,419-9097
24.94,17.3,9.15,3.7,55.09,386-7281
46.16,18.39,5.45,3.16,73.16,380-3561
30.86,18.56,7.27,2.3,58.99,390-8760
43.81,13.78,12.91,3,73.5,366-6730
32.95,18.82,7.75,2.86,62.38,395-5285
17.48,17.57,13.46,2.73,51.24,354-3436
31.94,13.4,10.23,2.03,57.6,336-7600
38.42,21.12,6.32,1.86,67.72,383-6293
44.27,12.41,12.13,3.11,71.92,362-4596
30.38,24.83,11.97,2.65,69.83,401-3926
57.36,19.33,6.93,4.27,87.89,370-9116
26.79,21,11.66,3.7,63.15,328-6289
31.21,21.82,8.04,2.75,63.82,350-9994
24.16,15.59,7.42,2.59,49.76,351-4616
23.17,14.64,6.19,1.92,45.92,360-5779
36.91,20.53,11.41,3.24,72.09,417-4885
31.88,20.52,10.33,2.84,65.57,406-4710
16.81,11.51,10.65,3.29,42.26,409-8743
35.07,12.63,7.52,1.65,56.87,335-4584
41.33,18.17,10.29,3.27,73.06,361-9845
32.27,13.88,11.92,2.03,60.1,366-5699
34.34,20.67,11.76,2.94,69.71,329-9364
28.92,16.43,4.77,3.46,53.58,390-7434
39.25,15.93,6.93,1.7,63.81,404-9680
40.31,19,4.38,3.56,67.25,338-9398
30.96,14.42,7.41,2.86,55.65,394-2445
20.28,17.98,12.1,2.84,53.2,381-2709
19.86,15.21,8.21,3.81,47.09,397-5060
37.26,12.7,11.01,1.65,62.62,415-2393
42.94,14.37,7.69,3,68,377-1765
25.01,16.18,8.78,3.29,53.26,409-2111
34.36,19.5,8.78,3.11,65.75,401-3170
29.5,16.5,9.36,4.37,59.73,405-5681
39.46,24.85,9.05,0,73.36,411-4582
33.51,18.23,12.7,2.57,67.01,355-5009
9.89,11.79,6.16,3.21,31.05,372-3750
19.65,20.2,7.65,2.67,50.17,405-2888
31.64,21.62,9.63,3.94,66.83,361-3337
44.18,20.83,6.05,2.27,73.33,350-1639
36.43,22.82,10.85,2.92,73.02,333-3221
26.98,5.47,8.93,2.75,44.13,422-1471
46.17,19.5,3.48,2.94,72.09,399-7865
27.3,13.87,8.42,2.43,52.02,373-4819
39.51,15.93,10.4,2.46,68.3,338-6981
22.75,15.34,5.05,2.4,45.54,418-4365
30.07,7.71,10.71,2.57,51.06,359-5461
35.68,16.58,9.37,2.38,64.01,375-3586
23.38,17.27,6.75,3.62,51.02,407-8376
49.22,14.16,5.36,2.57,71.31,408-6496
33.68,15.05,8.12,1.84,58.69,385-7688
25.45,15.49,11.77,2.62,55.33,332-6934
55.51,14.99,8.18,2.89,81.57,378-3625
49.79,16.97,11.49,3.73,81.98,353-7292
14.11,15.05,11.06,3.51,43.73,399-6786
24.77,18.74,11.25,3.54,58.3,358-3261
30.99,27.9,11.03,3.02,72.94,377-9932
37.06,15.64,10.82,1.73,65.25,397-4030
23.9,15.18,9.76,1.84,50.68,367-1062
25.96,21.89,8.91,2.54,59.3,341-8467
18.14,17.83,8.57,3.27,47.81,339-9453
41.45,7.13,8.09,3.7,60.37,344-3388
33.05,15.87,10.05,2.92,61.89,375-8013
36.36,12.91,11.7,3.29,64.26,408-4142
36.92,20.97,10.17,4.27,72.33,386-3671
40.99,13.23,8.47,3.13,65.82,411-2284
34.6,21.05,8.74,3.21,67.6,346-7795
26.38,20.78,5.51,2.89,55.56,333-5609
28.49,9.61,11.11,3.29,52.5,405-1842
38.54,19.39,3.29,4.75,65.97,366-6345
30.48,15.18,10.13,3.11,58.9,337-9345
25.74,15.84,7.76,2.94,52.28,328-6770
30.6,19.06,11.94,1.27,62.87,380-7321
42.53,22.7,6.8,3.51,75.54,375-1476
37.91,9.36,8.49,1.92,57.68,356-1567
31.21,12.97,9.55,3.29,57.02,422-6685
28.22,14.83,11.02,2.75,56.82,336-1090
23.14,23.2,9.91,1.19,57.44,343-2095
25.38,20.59,7.84,2.4,56.21,345-3934
11.12,14.3,10.62,3.73,39.77,338-8050
36.28,19.93,11.25,0.73,68.19,388-9568
35.17,20.8,9.97,2.08,68.02,402-6591
31.65,16.12,3.44,2.59,53.8,403-6419
47.63,18.74,6.16,3.59,76.12,386-9790
33.42,26.62,7.35,3.21,70.6,378-5692
53.04,11,9.79,2.84,76.67,360-3324
33.83,24.76,8.89,2.97,70.45,410-3719
34.53,18.45,8.14,3.65,64.77,352-4221
28.7,18.73,6.94,2.94,57.31,327-6179
29.43,20.43,10.49,2.43,62.78,359-6196
22.85,17.96,8.71,2.75,52.27,374-9107
34.44,10.1,10.57,2.43,57.54,357-4078
12.67,17.07,8.65,2.65,41.04,366-5780
14.21,10.28,10.2,2.89,37.58,393-9619
32.67,14.33,6.29,2.54,55.83,355-9295
37.43,7.51,8.79,3.48,57.21,400-5751
22.97,11.4,10.04,3.32,47.73,338-1027
43.08,15.5,12.41,2.27,73.26,405-8867
38.25,15.04,8.74,1.92,63.95,336-5616
33.75,22.76,15.97,2.54,75.02,335-1697
18.75,14.15,9.1,2.57,44.57,331-5138
10.2,8.69,11.78,3,33.67,385-8240
36.52,12.72,12.75,2.75,64.74,348-1359
30.91,17.2,11.07,2.48,61.66,354-7339
26.18,23.63,10.28,3.19,63.28,349-1687
26.76,10.02,12.56,3.75,53.09,380-2558
35.34,14.62,8.63,3.89,62.48,365-2153
35.19,19.8,7.76,2.46,65.21,345-6043
20.23,19.55,10.66,2.57,53.01,349-2808
24.43,23.21,8.02,2.94,58.6,411-1715
28.2,18.4,7.79,3.81,58.2,385-2488
23.56,14.65,10.42,2.65,51.28,377-7177
14.4,21.24,8.7,3.92,48.26,342-1099
10.64,15.35,9.98,2.81,38.78,386-4170
26.38,20,7.62,2.35,56.35,413-1269
28.03,17.79,10.4,1.81,58.03,396-4460
22.87,12.16,10.08,4.16,49.27,334-2730
24.36,17.96,8.33,3.11,53.76,340-3182
28.61,18.8,10.85,3.38,61.64,377-8608
44.61,16.54,6.59,2.24,69.98,417-3676
35.05,22.1,13.12,3.08,73.35,417-6774
38.39,16.41,10.46,2.27,67.53,411-9554
23.51,14.49,11.88,3.65,53.53,420-3192
16.05,11.58,6.63,1.22,35.48,389-1475
27.2,14.91,8.32,2.67,53.1,343-7734
35.12,19.12,11.25,3.94,69.43,410-3390
22.9,15.3,9.04,2.08,49.32,344-6495
36.45,19.99,9.28,2.16,67.88,331-6229
32.78,19.92,9.14,3.51,65.35,337-7501
25.69,16.56,10.76,2.7,55.71,339-9631
37.64,19.7,5.51,2.65,65.5,369-4384
37.21,17.68,9.15,3,67.04,416-3915
32.27,10.49,9.64,1.76,54.16,339-3049
32.76,19.2,11.44,2.94,66.34,361-7998
34.75,18.62,10.02,2.84,66.23,355-4842
29.29,14.79,8.47,3.51,56.06,387-6440
33.73,17.93,8.7,2.81,63.17,369-2625
35.99,13.59,6.48,3.29,59.35,389-7073
37.67,24.51,10.81,2.43,75.42,370-8463
33.64,15.43,12.66,1.81,63.54,362-7318
25.08,14.93,11.34,4.21,55.56,412-1194
35.09,10.88,8.75,2.38,57.1,355-9508
35,17.79,13.05,3.92,69.76,352-8202
35.29,11.25,11.48,3.81,61.83,335-5882
51.66,22.18,14.04,1.43,89.31,352-6976
39.2,18.65,13.47,2.16,73.48,393-6733
16.92,10.97,5.63,2.62,36.14,335-1838
30.11,16.49,6.6,1.59,54.79,355-6930
29.36,10.21,9.72,2.78,52.07,387-5860
29.36,11.34,11.68,2.65,55.03,343-2605
34.71,15.29,9.76,2.57,62.33,350-6759
14.57,21.05,6.41,2.73,44.76,371-1514
26.79,15.67,10.82,3.21,56.49,346-9317
36.64,18.59,9.32,1.78,66.33,398-4313
30.86,16.99,12.95,1.78,62.58,412-4399
29.19,9.38,8.79,3.21,50.57,330-1835
45.32,22.51,9.32,1.59,78.74,416-1676
28.97,29.79,13.37,3.02,75.15,329-7347
26.86,24.86,10.85,2.46,65.03,360-6868
15.64,21.56,9.63,2.78,49.61,405-6641
39.78,21.21,7.79,2.46,71.24,393-2373
46.26,22.82,9.62,2.3,81,419-1714
50.39,18.26,6.03,3.08,77.76,336-3819
33.05,16.18,8.25,3.08,60.56,341-3464
38.62,21.96,8.26,2.4,71.24,413-5310
42.28,18.7,11.96,3.56,76.5,366-7912
40.17,16.65,8.26,2.62,67.7,399-8845
34.95,14.41,9.9,2.94,62.2,368-2583
16,23.83,9.23,2.65,51.71,360-6309
21.28,17.46,11.45,5.1,55.29,359-5890
10.27,26.03,5.58,3.35,45.23,332-2462
20.57,22.98,7.22,2.08,52.85,381-9196
20.03,21.83,6.64,2.05,50.55,329-3222
39.51,18.01,12.29,1.35,71.16,363-5819
38,16.05,6.97,2.54,63.56,413-9269
29.97,22.03,12.93,1.67,66.6,330-7483
21.28,15.11,10.46,3.48,50.33,403-7775
23.58,21.84,10.57,2.7,58.69,360-2479
14.67,20.96,11.32,3.05,50,394-3791
