churn,state,account length,area code,phone number,account (days),Age,Gender,Occupation,Joining date,Subsciption renewal date,international plan,voice mail plan,%call drops,%Packet_drops,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,total day charge,total eve charge,total night charge,total intl charge,ARPU,customer service calls,Number of complaint raised,Time for resolution,payment_made_but_order_not_placed_and_amount_is_deducted_from_my_bank_account,Billing_issue,Calls_are_not_going,drop_calls,No_internet_connection,order,payment_refund,recharge_offer_service_fraud,Slow_network_coverage,uninformed___unsubscribed_weekly_amount_deduction,signalstrength_4g,signalstrength_3g,Duration of good signal strength% ,Duration of bad Signal strength %
FALSE,KS,128,415,382-4657,896,53,Female,Senior Professional,4/1/2016,3/1/2018,no,yes,0.008,0.007,25,265.1,110,197.4,99,244.7,91,10,3,45.07,16.78,11.01,2.7,75.56,1,1,21,0,0,0,0,0,0,1,0,0,0,-66,-52,0.969,0.031
FALSE,OH,107,415,371-7191,749,70,Male,Retire,30/05/2016,30/05/2018,no,yes,0.018,0.005,26,161.6,123,195.5,103,254.4,103,13.7,3,27.47,16.62,11.45,3.7,59.24,1,1,14,0,0,0,0,0,0,1,0,0,0,-66,-52,0.952,0.048
FALSE,NJ,137,415,358-1921,959,60,Male,Retire,2/11/2015,1/11/2017,no,no,0.011,0.009,0,243.4,114,121.2,110,162.6,104,12.2,5,41.38,10.3,7.32,3.29,62.29,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-71,0.942,0.058
FALSE,OH,84,408,375-9999,588,38,Female,Senior Professional,7/11/2016,7/11/2018,yes,no,0.005,0.004,0,299.4,71,61.9,88,196.9,89,6.6,7,50.9,5.26,8.86,1.78,66.8,2,1,24,0,0,1,0,0,0,0,0,0,0,-76,-64,0.96,0.04
FALSE,OK,75,415,330-6626,525,27,Male,Retire,9/1/2017,9/1/2019,yes,no,0.013,0.016,0,166.7,113,148.3,122,186.9,121,10.1,3,28.34,12.61,8.41,2.73,52.09,3,2,37,0,1,0,0,0,0,1,0,0,0,-83,-72,0.971,0.029
FALSE,AL,118,510,391-8027,826,34,Female,Senior Professional,14/03/2016,14/03/2018,yes,no,0.015,0.013,0,223.4,98,220.6,101,203.9,118,6.3,6,37.98,18.75,9.18,1.7,67.61,0,0,0,0,0,0,0,0,0,0,0,0,0,-104,-79,0.934,0.066
FALSE,MA,121,510,355-9993,847,20,Female,student,22/02/2016,21/02/2018,no,yes,0.011,0.016,24,218.2,88,348.5,108,212.6,118,7.5,7,37.09,29.62,9.57,2.03,78.31,3,2,61,1,0,0,0,0,0,0,1,0,0,-77,-63,0.939,0.061
FALSE,MO,147,415,329-9001,1029,43,Female,Sr Managers,24/08/2015,23/08/2017,yes,no,0,0.012,0,157,79,103.1,94,211.8,96,7.1,6,26.69,8.76,9.53,1.92,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-68,0.923,0.077
FALSE,LA,117,408,335-4719,819,49,Female,Middle Management,21/03/2016,21/03/2018,no,no,0.009,0.002,0,184.5,97,351.6,80,215.8,90,8.7,4,31.37,29.89,9.71,2.35,73.32,1,1,24,0,0,0,0,0,0,0,0,1,0,-85,-73,0.935,0.065
FALSE,WV,141,415,330-8173,987,29,Female,Senior Professional,5/10/2015,4/10/2017,yes,yes,0.006,0.002,37,258.6,84,222,111,326.4,97,11.2,5,43.96,18.87,14.69,3.02,80.54,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-71,0.929,0.071
